file,emotion
C:/proje/ser_proje\dataset\Angry\1157_kz_kulac.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_kusluk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_kustah.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_lokma.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_lufer.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_melek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_mujde.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_nicin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_odenek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_ogul.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_okul.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_olcut.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_ordek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_pamuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_pas.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_pihti.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_rihtim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_saf.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_sarap.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_sarj.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_satir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_senlik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_sepet.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_serin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_sevgi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_simit.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_soba.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_sucuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_tahta.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_tembel.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_tirtil.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_turev.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_unlu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_utanc.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_vurgu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_yanki.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_yazim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_yigilmak.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_yigin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1157_kz_zeytin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_acik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_algi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_beste.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_bugu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_cay.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_cekirge.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_cene.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_ceren.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_cilek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_defne.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_demet.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_demir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_deve.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_deyim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_dil.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_dizge.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_dugun.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_eger.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_elmacik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_eski.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_firildak.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_gezi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_gicik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_goz.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_gunes.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_gurbuz.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_hekim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_igde.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_isirgan.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_japon.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_kagit.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_karton.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_kedi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_kemik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_kibir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_kiler.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_kirgin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_koku.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_konuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_koy.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_kulac.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_kusluk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_kustah.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_lokma.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_lufer.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_melek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_mujde.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_nasil.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_nicin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_odenek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_ogul.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_okul.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_olcut.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_ordek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_orgu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_pamuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_pas.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_pihti.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_rihtim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_saf.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_sarap.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_sarj.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_satir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_senlik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_sepet.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_serin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_sevgi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_simit.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_soba.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_sucuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_tahta.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_tembel.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_tirtil.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_turev.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_unlu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_utanc.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_vurgu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_yanki.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_yazim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_yigilmak.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_yigin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1234_kz_zeytin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_acik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_algi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_beste.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_bugu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_cay.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_cekirge.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_cene.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_ceren.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_cilek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_defne.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_demet.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_demir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_deve.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_deyim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_dil.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_dizge.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_dugun.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_eger.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_elmacik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_eski.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_firildak.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_gezi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_gicik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_goz.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_gunes.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_gurbuz.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_hekim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_igde.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_isirgan.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_japon.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_kagit.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_karton.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_kedi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_kemik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_kibir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_kiler.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_kirgin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_koku.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_konuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_koy.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_kulac.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_kusluk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_kustah.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_lokma.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_lufer.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_melek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_mujde.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_nasil.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_nicin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_odenek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_ogul.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_okul.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_olcut.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_ordek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_orgu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_pamuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_pas.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_pihti.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_rihtim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_saf.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_sarap.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_sarj.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_satir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_senlik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_sepet.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_serin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_sevgi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_simit.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_soba.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_sucuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_tahta.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_tembel.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_tirtil.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_turev.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_unlu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_utanc.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_vurgu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_yanki.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_yazim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_yigilmak.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_yigin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1358_kz_zeytin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_acik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_algi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_beste.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_bugu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_cay.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_cekirge.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_cene.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_ceren.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_cilek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_defne.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_demet.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_demir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_deve.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_deyim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_dil.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_dizge.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_dugun.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_eger.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_elmacik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_eski.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_firildak.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_gezi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_gicik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_goz.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_gunes.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_gurbuz.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_hekim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_igde.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_isirgan.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_japon.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_kagit.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_karton.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_kedi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_kemik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_kibir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_kiler.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_kirgin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_koku.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_konuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_koy.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_kulac.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_kusluk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_kustah.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_lokma.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_lufer.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_melek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_mujde.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_nasil.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_nicin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_odenek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_ogul.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_okul.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_olcut.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_ordek.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_orgu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_pamuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_pas.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_pihti.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_rihtim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_saf.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_sarap.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_sarj.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_satir.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_senlik.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_sepet.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_serin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_sevgi.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_simit.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_soba.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_sucuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_tahta.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_tembel.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_tirtil.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_turev.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_unlu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_utanc.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_vurgu.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_yanki.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_yazim.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_yigilmak.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_yigin.wav,Angry
C:/proje/ser_proje\dataset\Angry\1984_kz_zeytin.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_acik.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_algi.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_beste.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_bugu.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_cay.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_cekirge.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_cene.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_ceren.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_cilek.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_defne.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_demet.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_demir.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_deve.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_deyim.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_dil.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_dizge.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_dugun.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_eger.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_elmacik.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_eski.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_firildak.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_gezi.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_gicik.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_goz.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_gunes.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_gurbuz.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_hekim.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_igde.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_isirgan.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_japon.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_kagit.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_karton.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_kedi.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_kemik.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_kibir.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_kiler.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_kirgin.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_koku.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_konuk.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_koy.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_kulac.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_kusluk.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_kustah.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_lokma.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_lufer.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_melek.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_mujde.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_nasil.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_nicin.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_odenek.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_ogul.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_okul.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_olcut.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_ordek.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_orgu.wav,Angry
C:/proje/ser_proje\dataset\Angry\6783_kz_pamuk.wav,Angry
